0 7500 12500 
0 7500 7500 12500 
0 7500 7500 12500 
0 7500 7500 12500 
0 7500 7500 12500 
0 7500 7500 12500 
0 7500 7500 12500 
0 7500 7500 12500 
0 7500 7500 12500 
0 7500 7500 12500 
0 7500 7500 12500 
0 7500 7500 12500 
0 7500 7500 12500 
0 7500 7500 12500 
0 7500 12500 
0 12500 7500 12500 
0 12500 7500 7500 12500 
0 12500 7500 7500 12500 
0 12500 7500 7500 12500 
0 12500 7500 7500 12500 
0 12500 7500 7500 12500 
0 12500 7500 7500 12500 
0 12500 7500 7500 12500 
0 12500 7500 7500 12500 
0 12500 7500 7500 12500 
0 12500 7500 7500 12500 
0 12500 7500 7500 12500 
0 12500 7500 7500 12500 
0 12500 7500 7500 12500 
0 12500 7500 12500 
0 12500 7500 12500 
0 12500 7500 7500 12500 
0 12500 7500 7500 12500 
0 12500 7500 7500 12500 
0 12500 7500 7500 12500 
0 12500 7500 7500 12500 
0 12500 7500 7500 12500 
0 12500 7500 7500 12500 
0 12500 7500 7500 12500 
0 12500 7500 7500 12500 
0 12500 7500 7500 12500 
0 12500 7500 7500 12500 
0 12500 7500 7500 12500 
0 12500 7500 7500 12500 
0 12500 7500 12500 
0 12500 7500 12500 
0 12500 7500 7500 12500 
0 12500 7500 7500 12500 
0 12500 7500 7500 12500 
0 12500 7500 7500 12500 
0 12500 7500 7500 12500 
0 12500 7500 7500 12500 
0 12500 7500 7500 12500 
0 12500 7500 7500 12500 
0 12500 7500 7500 12500 
0 12500 7500 7500 12500 
0 12500 7500 7500 12500 
0 12500 7500 7500 12500 
0 12500 7500 7500 12500 
0 12500 7500 12500 
0 12500 7500 12500 
0 12500 7500 7500 12500 
0 12500 7500 7500 12500 
0 12500 7500 7500 12500 
0 12500 7500 7500 6250 6250 
0 12500 7500 7500 6250 6250 
0 12500 7500 7500 6250 6250 
0 12500 7500 7500 6250 6250 
0 12500 7500 7500 6250 6250 
0 12500 7500 7500 6250 6250 
0 12500 7500 7500 6250 6250 
0 12500 7500 7500 12500 
0 12500 7500 7500 12500 
0 12500 7500 7500 12500 
0 12500 7500 12500 
0 12500 7500 12500 
0 12500 7500 7500 12500 
0 12500 7500 7500 12500 
0 12500 7500 3750 3750 12500 
0 6250 3750 3750 6250 
0 6250 3750 6250 3750 
0 3750 6250 3750 6250 
0 6250 3750 3750 6250 
0 6250 3750 3750 6250 
0 6250 3750 6250 3750 
0 3750 6250 3750 6250 
0 6250 3750 3750 6250 
0 6250 3750 3750 6250 
0 6250 3750 6250 3750 
0 3750 6250 3750 6250 
0 6250 3750 3750 6250 
0 6250 3750 3750 6250 
0 6250 3750 6250 3750 
0 3750 6250 3750 6250 
0 6250 3750 3750 6250 
0 6250 3750 3750 6250 
0 6250 3750 6250 3750 
0 3750 6250 3750 6250 
0 6250 3750 3750 6250 
0 6250 3750 3750 6250 
0 6250 3750 6250 3750 
0 3750 6250 3750 6250 
0 6250 3750 3750 6250 
0 6250 3750 3750 6250 
0 6250 3750 6250 3750 
0 3750 6250 3750 6250 
0 6250 3750 3750 6250 
0 12500 3750 3750 7500 12500 
0 12500 7500 7500 12500 
0 12500 7500 7500 12500 
0 12500 7500 12500 
0 12500 7500 12500 
0 12500 7500 7500 12500 
0 12500 7500 7500 12500 
0 12500 7500 3750 3750 12500 
0 6250 3750 3750 6250 
0 6250 3750 6250 3750 
0 3750 6250 3750 6250 
0 6250 3750 3750 6250 
0 6250 3750 3750 6250 
0 6250 3750 6250 3750 
0 3750 6250 3750 6250 
0 6250 3750 3750 6250 
0 6250 3750 3750 6250 
0 6250 3750 6250 3750 
0 3750 6250 3750 6250 
0 6250 3750 3750 6250 
0 6250 3750 3750 6250 
0 6250 3750 6250 3750 
0 3750 6250 3750 6250 
0 6250 3750 3750 6250 
0 6250 3750 3750 6250 
0 6250 3750 6250 3750 
0 3750 6250 3750 6250 
0 6250 3750 3750 6250 
0 6250 3750 3750 6250 
0 6250 3750 6250 3750 
0 3750 6250 3750 6250 
0 6250 3750 3750 6250 
0 6250 3750 3750 6250 
0 6250 3750 6250 3750 
0 3750 6250 3750 6250 
0 6250 3750 3750 6250 
0 12500 3750 3750 7500 12500 
0 12500 7500 7500 12500 
0 12500 7500 7500 12500 
0 12500 7500 12500 
0 12500 7500 12500 
0 12500 7500 7500 12500 
0 12500 7500 7500 12500 
0 12500 7500 3750 3750 12500 
0 6250 3750 3750 6250 
0 6250 3750 6250 3750 
0 3750 6250 3750 6250 
0 6250 3750 3750 6250 
0 6250 3750 3750 6250 
0 6250 3750 6250 3750 
0 3750 6250 3750 6250 
0 6250 3750 3750 6250 
0 6250 3750 3750 6250 
0 6250 3750 6250 3750 
0 3750 6250 3750 6250 
0 6250 3750 3750 6250 
0 6250 3750 3750 6250 
0 6250 3750 6250 3750 
0 3750 6250 3750 6250 
0 6250 3750 3750 6250 
0 6250 3750 3750 6250 
0 6250 3750 6250 3750 
0 3750 6250 3750 6250 
0 6250 3750 3750 6250 
0 6250 3750 3750 6250 
0 6250 3750 6250 3750 
0 3750 6250 3750 6250 
0 6250 3750 3750 6250 
0 6250 3750 3750 6250 
0 6250 3750 6250 3750 
0 3750 6250 3750 6250 
0 6250 3750 3750 6250 
0 12500 3750 3750 7500 12500 
0 12500 7500 7500 12500 
0 12500 7500 7500 12500 
0 12500 7500 12500 
0 12500 7500 12500 
0 12500 7500 7500 12500 
0 12500 7500 7500 12500 
0 12500 7500 3750 3750 12500 
0 6250 3750 3750 6250 
0 6250 3750 6250 3750 
0 3750 6250 3750 6250 
0 6250 3750 3750 6250 
0 6250 3750 3750 6250 
0 6250 3750 6250 3750 
0 3750 6250 3750 6250 
0 6250 3750 3750 6250 
0 6250 3750 3750 6250 
0 6250 3750 6250 3750 
0 3750 6250 3750 6250 
0 6250 3750 3750 6250 
0 6250 3750 3750 6250 
0 6250 3750 6250 3750 
0 3750 6250 3750 6250 
0 6250 3750 3750 6250 
0 6250 3750 3750 6250 
0 6250 3750 6250 3750 
0 3750 6250 3750 6250 
0 6250 3750 3750 6250 
0 6250 3750 3750 6250 
0 6250 3750 6250 3750 
0 3750 6250 3750 6250 
0 6250 3750 3750 6250 
0 6250 3750 3750 6250 
0 6250 3750 6250 3750 
0 3750 6250 3750 6250 
